|2020/04/24 17:54:57.881| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIGLMENU/GLREL    | 
|2020/04/24 17:54:57.895| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIGLMENU/GLDIMREF | 
|2020/04/24 17:54:57.895| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIGLMENU/GLDIMMNT | 
|2020/04/24 17:54:57.895| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIGLMENU/GLDIMIL  | 
|2020/04/24 17:54:57.895| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIGLMENU/GLSYSADM | 
|2020/04/24 17:54:57.895| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIGLMENU/GLTRNSAU | 
|2020/04/24 17:54:57.895| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/UVUTIL   | 
|2020/04/24 17:54:57.895| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/UVMAP    | 
|2020/04/24 17:54:57.895| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/UVXUTIL  | 
|2020/04/24 17:54:57.912| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/ECMENU   | 
|2020/04/24 17:54:57.912| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/ECCLIST  | 
|2020/04/24 17:54:57.912| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/EPICMENU | 
|2020/04/24 17:54:57.912| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIGLMENU/EPICMENU | 
|2020/04/24 17:54:57.912| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIGLMENU/ENCMENU  | 
|2020/04/24 17:54:57.912| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIGLMENU/GLPOST   | 
|2020/04/24 17:54:57.912| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIGLMENU/TEST     | 
|2020/04/24 17:54:57.927| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APMASTER | 
|2020/04/24 17:54:57.927| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APPARAM  | 
|2020/04/24 17:54:57.927| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/AUTOBAL  | 
|2020/04/24 17:54:57.927| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APVENDCL | 
|2020/04/24 17:54:57.927| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APVOUCL  | 
|2020/04/24 17:54:57.927| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APPAYCL  | 
|2020/04/24 17:54:57.943| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APFINMU  | 
|2020/04/24 17:54:57.943| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APTAXCL  | 
|2020/04/24 17:54:57.943| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APADJMU  | 
|2020/04/24 17:54:57.943| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APVENDOR | 
|2020/04/24 17:54:57.943| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():EBPXMENU/VRMAINT  | 
|2020/04/24 17:54:57.943| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():EBPXMENU/VRAPPROV | 
|2020/04/24 17:54:57.943| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APLIMIT  | 
|2020/04/24 17:54:57.959| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APTRANS  | 
|2020/04/24 17:54:57.959| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APRECUR  | 
|2020/04/24 17:54:57.959| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APPAYPST | 
|2020/04/24 17:54:57.959| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/SPECPAY  | 
|2020/04/24 17:54:57.959| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APPOST   | 
|2020/04/24 17:54:57.959| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APSTMT   | 
|2020/04/24 17:54:57.973| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APVOURP  | 
|2020/04/24 17:54:57.973| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APDISTRG | 
|2020/04/24 17:54:57.973| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APHISTRP | 
|2020/04/24 17:54:57.973| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APEXTRNL | 
|2020/04/24 17:54:57.973| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APSYSADM | 
|2020/04/24 17:54:57.973| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APAUDIT  | 
|2020/04/24 17:54:57.973| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APPURGE  | 
|2020/04/24 17:54:57.973| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APFILES  | 
|2020/04/24 17:54:57.991| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/UVUTIL   | 
|2020/04/24 17:54:57.991| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/UVMAP    | 
|2020/04/24 17:54:57.991| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/UVXUTIL  | 
|2020/04/24 17:54:57.991| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/ECMENU   | 
|2020/04/24 17:54:57.991| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/ECCLIST  | 
|2020/04/24 17:54:57.991| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/EPICMENU | 
|2020/04/24 17:54:58.006| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/EPICMENU | 
|2020/04/24 17:54:58.006| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIAPMENU/APGST    | 
|2020/04/24 17:54:58.006| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARMASTER | 
|2020/04/24 17:54:58.006| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARPARAM  | 
|2020/04/24 17:54:58.006| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/AUTOBAL  | 
|2020/04/24 17:54:58.006| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARCODES  | 
|2020/04/24 17:54:58.006| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/AREMPL   | 
|2020/04/24 17:54:58.021| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARCUSTC1 | 
|2020/04/24 17:54:58.021| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARCUSTC2 | 
|2020/04/24 17:54:58.021| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARCONTC  | 
|2020/04/24 17:54:58.021| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARCUSTC3 | 
|2020/04/24 17:54:58.021| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARITMCL  | 
|2020/04/24 17:54:58.021| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARITMCL1 | 
